track 1;
431 0.000457 0.353319;
0 0.062827 0.353319;
7 0.062827 0.363079;
0 0.131434 0.363079;
9 0.131434 0.370888;
0 0.187567 0.370888;
7 0.187567 0.378696;
0 0.237463 0.378696;
8 0.237463 0.3826;
0 0.281122 0.3826;
8 0.281122 0.388456;
0 0.310228 0.388456;
13 0.310228 0.39236;
0 0.345571 0.39236;
3 0.345571 0.398216;
0 0.376756 0.398216;
8 0.376756 0.406024;
0 0.405862 0.406024;
8 0.405862 0.413833;
0 0.439127 0.413833;
8 0.439127 0.421641;
0 0.47447 0.421641;
8 0.47447 0.433353;
0 0.511892 0.433353;
9 0.511892 0.441161;
0 0.543077 0.441161;
8 0.543077 0.448969;
0 0.576341 0.448969;
9 0.576341 0.456777;
0 0.607526 0.456777;
7 0.607526 0.464586;
0 0.634553 0.464586;
9 0.634553 0.470442;
0 0.655343 0.470442;
8 0.655343 0.47825;
0 0.676133 0.47825;
9 0.676133 0.486058;
0 0.690686 0.486058;
7 0.690686 0.495818;
0 0.70316 0.495818;
10 0.70316 0.505578;
0 0.711476 0.505578;
6 0.711476 0.513387;
0 0.728108 0.513387;
12 0.728108 0.521195;
0 0.742661 0.521195;
5 0.742661 0.527051;
0 0.750977 0.527051;
6 0.750977 0.530955;
0 0.759293 0.530955;
8 0.759293 0.530955;
0 0.759293 0.530955;
8 0.759293 0.534859;
0 0.761372 0.534859;
8 0.761372 0.534859;
0 0.763451 0.534859;
8 0.763451 0.534859;
0 0.763451 0.534859;
8 0.763451 0.538763;
0 0.76553 0.538763;
8 0.76553 0.540715;
0 0.76553 0.540715;
13 0.76553 0.546571;
0 0.769688 0.546571;
2 0.769688 0.550475;
0 0.771767 0.550475;
8 0.771767 0.554379;
0 0.775925 0.554379;
8 0.775925 0.556331;
0 0.778004 0.556331;
8 0.778004 0.558283;
0 0.778004 0.558283;
7 0.778004 0.558283;
0 0.778004 0.558283;
25 0.778004 0.558283;
0 0.778004 0.558283;
8 0.778004 0.558283;
0 0.778004 0.558283;
9 0.778004 0.560236;
0 0.778004 0.560236;
7 0.778004 0.560236;
0 0.778004 0.560236;
15 0.778004 0.560236;
0 0.778004 0.560236;
0 0.778004 0.562188;
0 0.778004 0.562188;
57 0.778004 0.562188;
0 0.775925 0.562188;
8 0.775925 0.562188;
0 0.769688 0.562188;
8 0.769688 0.562188;
0 0.757214 0.562188;
8 0.757214 0.562188;
0 0.74474 0.562188;
8 0.74474 0.562188;
0 0.728108 0.562188;
14 0.728108 0.562188;
0 0.711476 0.562188;
2 0.711476 0.562188;
0 0.699002 0.562188;
8 0.699002 0.562188;
0 0.684449 0.562188;
8 0.684449 0.562188;
0 0.671975 0.562188;
8 0.671975 0.562188;
0 0.659501 0.562188;
8 0.659501 0.562188;
0 0.649106 0.562188;
8 0.649106 0.562188;
0 0.644948 0.562188;
8 0.644948 0.56414;
0 0.64079 0.56414;
9 0.64079 0.56414;
0 0.64079 0.56414;
7 0.64079 0.56414;
0 0.64079 0.56414;
28 0.64079 0.56414;
0 0.64079 0.56414;
4 0.64079 0.56414;
0 0.64079 0.56414;
11 0.64079 0.566092;
0 0.64079 0.566092;
5 0.64079 0.568044;
0 0.64079 0.568044;
12 0.64079 0.568044;
0 0.64079 0.568044;
4 0.64079 0.568044;
0 0.64079 0.568044;
8 0.64079 0.569996;
0 0.64079 0.569996;
8 0.64079 0.571948;
0 0.644948 0.571948;
8 0.644948 0.5739;
